Region_no,Region_name
225,rh_parstriangularis_part3
226,rh_pericalcarine_part1
227,rh_pericalcarine_part2
228,rh_pericalcarine_part3
229,rh_postcentral_part1
230,rh_postcentral_part2
231,rh_postcentral_part3
232,rh_postcentral_part4
233,rh_postcentral_part5
234,rh_postcentral_part6
235,rh_postcentral_part7
236,rh_postcentral_part8
237,rh_posteriorcingulate_part1
238,rh_posteriorcingulate_part2
239,rh_precentral_part1
240,rh_precentral_part2
241,rh_precentral_part3
242,rh_precentral_part4
243,rh_precentral_part5
244,rh_precentral_part6
245,rh_precentral_part7
246,rh_precentral_part8
247,rh_precentral_part9
248,rh_precuneus_part1
249,rh_precuneus_part2
250,rh_precuneus_part3
251,rh_precuneus_part4
252,rh_precuneus_part5
253,rh_precuneus_part6
254,rh_precuneus_part7
255,rh_rostralanteriorcingulate_part1
256,rh_rostralmiddlefrontal_part1
257,rh_rostralmiddlefrontal_part2
258,rh_rostralmiddlefrontal_part3
259,rh_rostralmiddlefrontal_part4
260,rh_rostralmiddlefrontal_part5
261,rh_rostralmiddlefrontal_part6
262,rh_rostralmiddlefrontal_part7
263,rh_rostralmiddlefrontal_part8
264,rh_rostralmiddlefrontal_part9
265,rh_rostralmiddlefrontal_part10
266,rh_superiorfrontal_part1
267,rh_superiorfrontal_part2
268,rh_superiorfrontal_part3
269,rh_superiorfrontal_part4
270,rh_superiorfrontal_part5
271,rh_superiorfrontal_part6
272,rh_superiorfrontal_part7
273,rh_superiorfrontal_part8
274,rh_superiorfrontal_part9
275,rh_superiorfrontal_part10
276,rh_superiorfrontal_part11
277,rh_superiorfrontal_part12
278,rh_superiorfrontal_part13
279,rh_superiorparietal_part1
280,rh_superiorparietal_part2
281,rh_superiorparietal_part3
282,rh_superiorparietal_part4
283,rh_superiorparietal_part5
284,rh_superiorparietal_part6
285,rh_superiorparietal_part7
286,rh_superiorparietal_part8
287,rh_superiorparietal_part9
288,rh_superiorparietal_part10
289,rh_superiortemporal_part1
290,rh_superiortemporal_part2
291,rh_superiortemporal_part3
292,rh_superiortemporal_part4
293,rh_superiortemporal_part5
294,rh_superiortemporal_part6
295,rh_supramarginal_part1
296,rh_supramarginal_part2
297,rh_supramarginal_part3
298,rh_supramarginal_part4
299,rh_supramarginal_part5
300,rh_supramarginal_part6
301,rh_supramarginal_part7
303,rh_temporalpole_part1
304,rh_transversetemporal_part1
305,rh_insula_part1
306,rh_insula_part2
307,rh_insula_part3
308,rh_insula_part4
